years,2011,2012,2013,2014,2015,2016,au_num,
mod-367,0,0,0,1,0,0,3
mod-368,68,60,70,72,78,71,425
mod-369,0,0,0,1,1,0,4
mod-370,0,0,0,2,0,3,3
mod-371,0,0,0,1,0,0,9
mod-372,0,0,0,2,0,0,3
mod-373,0,0,0,1,0,0,2
mod-374,0,0,0,1,1,1,2
mod-375,0,0,0,1,0,1,3
mod-376,1,2,0,2,0,1,5
mod-377,4,5,2,15,2,3,20
mod-378,1,0,0,1,1,0,3
mod-379,0,0,0,1,0,0,3
mod-380,0,0,0,3,0,0,4
mod-381,0,0,0,1,1,0,8
mod-382,0,0,0,1,0,0,2
mod-383,0,0,0,1,0,1,2
mod-384,0,0,0,1,0,0,5
mod-385,0,0,0,1,1,0,2
mod-386,0,0,0,1,0,0,5
mod-387,0,0,1,3,1,1,8
mod-388,0,0,0,1,1,0,2
mod-389,0,0,0,1,0,0,2
mod-390,0,0,0,2,0,0,2
mod-391,0,0,0,2,1,0,5
mod-392,0,0,0,1,2,3,5
mod-393,0,0,0,1,0,0,5
mod-394,0,0,0,5,1,0,5
mod-395,0,0,0,1,0,0,3
mod-396,0,0,0,1,0,0,10
mod-397,0,0,0,1,3,3,6
mod-398,0,0,0,1,2,0,5
mod-399,0,0,0,1,0,0,8
mod-400,0,0,0,1,0,0,4
mod-401,0,0,0,2,1,0,4
mod-402,0,0,0,2,1,0,4
mod-403,0,0,0,1,0,0,29
mod-404,0,0,0,1,0,0,6
mod-405,0,0,0,1,0,0,5
mod-406,0,0,1,2,0,0,2
mod-407,0,0,0,1,0,1,3
mod-408,0,0,0,1,0,1,3
mod-409,0,0,0,1,1,0,2
mod-410,0,0,0,1,1,1,2
mod-411,0,0,0,1,0,0,4
mod-412,0,0,0,2,0,0,6
mod-413,0,0,0,1,1,0,2
mod-414,0,0,0,1,4,1,3
mod-415,0,0,0,1,0,1,3
mod-416,0,0,0,2,0,0,2
mod-417,0,0,0,1,0,1,2
mod-418,0,0,0,1,0,1,2
mod-419,0,0,0,1,1,0,2
mod-420,0,0,0,1,1,0,4
mod-421,0,0,0,1,1,0,2
mod-422,0,0,0,0,1,0,7
mod-423,0,0,0,0,1,1,2
mod-424,0,0,0,0,1,0,27
mod-425,0,0,0,0,2,0,4
mod-426,0,1,1,1,5,1,11
mod-427,0,0,0,0,2,0,4
mod-428,1,1,0,0,6,0,10
mod-429,0,0,0,0,1,0,3
mod-430,0,0,0,0,1,0,11
mod-431,0,1,0,1,1,1,2
mod-432,0,0,0,0,1,0,2
mod-433,0,0,0,0,3,0,6
mod-434,0,0,0,0,1,0,5
mod-435,0,0,0,0,1,0,11
mod-436,0,0,0,0,1,0,9
mod-437,0,0,0,0,1,0,2
mod-438,0,0,0,0,1,0,11
mod-439,0,0,0,0,2,0,2
mod-440,0,0,0,0,1,0,2
mod-441,0,0,0,0,1,0,4
mod-442,0,0,0,0,1,0,7
mod-443,0,0,0,0,1,0,5
mod-444,0,0,0,1,1,1,2
mod-445,0,0,0,0,1,1,4
mod-446,0,0,0,0,3,1,15
mod-447,0,0,0,0,1,0,2
mod-448,0,0,0,0,1,1,4
mod-449,0,0,0,0,1,0,12
mod-450,0,0,0,0,1,2,2
mod-451,0,0,0,1,2,0,28
mod-452,0,0,0,0,2,1,2
mod-453,0,0,0,0,1,1,2
mod-454,0,0,0,0,1,1,9
mod-455,0,0,0,0,3,0,2
mod-456,0,0,0,0,4,4,5
mod-457,0,0,0,0,1,1,2
mod-458,0,0,0,0,1,0,4
mod-459,0,0,0,0,1,2,8
mod-460,0,0,0,1,2,0,4
mod-461,0,0,0,0,2,0,2
mod-462,0,0,0,0,1,0,4
mod-463,0,0,0,0,1,1,2
mod-464,0,0,0,0,1,2,2
mod-465,0,0,0,0,1,1,8
mod-466,0,0,0,0,1,1,2
mod-467,0,0,0,0,1,1,4
mod-468,0,0,0,0,1,1,3
mod-469,0,0,0,1,0,2,4
mod-470,0,0,0,0,0,1,2
mod-471,0,0,0,0,0,2,2
mod-472,0,0,0,0,0,1,7
mod-473,0,0,0,0,0,4,2
mod-474,0,0,0,0,0,5,4
mod-475,0,0,0,0,0,3,2
mod-476,0,0,0,0,0,1,4
mod-477,0,0,0,0,0,2,3
mod-478,0,0,0,0,0,1,6
mod-479,0,0,0,0,0,1,11
mod-480,0,0,0,0,0,1,5
mod-481,0,0,0,0,0,1,7
mod-482,1,0,0,0,0,1,7
mod-483,0,0,0,0,0,3,3
mod-484,0,0,0,0,0,1,2
mod-485,0,0,0,0,3,2,13
mod-486,0,0,0,0,0,1,4
mod-487,0,0,0,0,0,2,2
mod-488,0,0,0,0,1,2,4
