#Id,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,modularity_class,clustering,triangles,eigencentrality,pageranks,Authority,Hub
17826,35,245,8,0.277551,0.288815,0,1,30,1,595,0.006511,0.000019,0.00024,0.00024
17827,233,1932,8,0.280646,0.296624,3806.620154,1,30,0.509324,13766,0.052147,0.000071,0.002029,0.002029
17828,35,245,8,0.277551,0.288815,0,1,30,1,595,0.006511,0.000019,0.00024,0.00024
17829,37,300,8,0.277576,0.288884,10.692235,1,30,0.929429,619,0.007423,0.00002,0.00029,0.00029
17830,37,300,8,0.277576,0.288884,10.692235,1,30,0.929429,619,0.007423,0.00002,0.00029,0.00029
17831,42,330,8,0.31277,0.330667,27352.773103,1,30,0.711963,613,0.013703,0.000029,0.000992,0.000992
17832,35,245,8,0.277551,0.288815,0,1,30,1,595,0.006511,0.000019,0.00024,0.00024
17833,35,245,8,0.277551,0.288815,0,1,30,1,595,0.006511,0.000019,0.00024,0.00024
17834,35,245,8,0.277551,0.288815,0,1,30,1,595,0.006511,0.000019,0.00024,0.00024
17835,35,245,8,0.277551,0.288815,0,1,30,1,595,0.006511,0.000019,0.00024,0.00024
17836,35,245,8,0.277551,0.288815,0,1,30,1,595,0.006511,0.000019,0.00024,0.00024
17837,35,245,8,0.277551,0.288815,0,1,30,1,595,0.006511,0.000019,0.00024,0.00024
17838,35,245,8,0.277551,0.288815,0,1,30,1,595,0.006511,0.000019,0.00024,0.00024
17839,35,246,8,0.277551,0.288815,0,1,30,1,595,0.006511,0.000019,0.00024,0.00024
17840,35,245,8,0.277551,0.288815,0,1,30,1,595,0.006511,0.000019,0.00024,0.00024
17841,35,245,8,0.277551,0.288815,0,1,30,1,595,0.006511,0.000019,0.00024,0.00024
17842,35,245,8,0.277551,0.288815,0,1,30,1,595,0.006511,0.000019,0.00024,0.00024
17843,244,2329,8,0.280671,0.296787,4325.257399,1,30,0.474668,14072,0.053151,0.000076,0.002048,0.002048
17844,170,1630,8,0.279816,0.294382,1266.623604,1,30,0.707623,10165,0.041958,0.000054,0.001722,0.001722
17845,119,796,8,0.278687,0.291785,719.056001,1,30,0.662156,4649,0.022604,0.000042,0.000721,0.000721
17846,170,1630,8,0.279816,0.294382,1266.623604,1,30,0.707623,10165,0.041958,0.000054,0.001722,0.001722
17847,35,245,8,0.277551,0.288815,0,1,30,1,595,0.006511,0.000019,0.00024,0.00024
17848,35,246,8,0.277551,0.288815,0,1,30,1,595,0.006511,0.000019,0.00024,0.00024
17849,35,245,8,0.277551,0.288815,0,1,30,1,595,0.006511,0.000019,0.00024,0.00024
17850,35,245,8,0.277551,0.288815,0,1,30,1,595,0.006511,0.000019,0.00024,0.00024
17851,35,245,8,0.277551,0.288815,0,1,30,1,595,0.006511,0.000019,0.00024,0.00024
17852,35,245,8,0.277551,0.288815,0,1,30,1,595,0.006511,0.000019,0.00024,0.00024
17853,35,245,8,0.277551,0.288815,0,1,30,1,595,0.006511,0.000019,0.00024,0.00024
17854,35,245,8,0.277551,0.288815,0,1,30,1,595,0.006511,0.000019,0.00024,0.00024
